frame,openness,energy
402,5.5059,0.052588
403,5.7913,0.089130
404,5.0965,0.147545
405,4.3282,0.163211
406,4.7754,0.163706
407,4.5203,0.139871
408,3.3944,0.075343
409,4.3802,0.037083
410,6.0591,0.037338
411,6.0845,0.036493
412,2.6943,0.031640
413,3.0131,0.021475
414,3.5640,0.030300
415,3.5115,0.044734
416,3.5813,0.047593
417,3.9720,0.046447
418,4.5241,0.039250
419,4.6047,0.021468
420,5.2290,0.015278
421,6.5890,0.018835
422,6.8364,0.020295
423,7.3744,0.020783
424,6.8289,0.023134
425,5.7723,0.033325
426,4.8659,0.043512
427,5.2790,0.047566
428,6.1142,0.045540
429,6.7642,0.036406
430,6.2657,0.034993
431,5.5944,0.053820
432,5.5283,0.076091
433,5.5005,0.078974
434,5.6379,0.074227
435,5.8275,0.082669
436,5.7034,0.086146
437,5.8149,0.087105
438,5.7437,0.087394
439,5.5990,0.065213
440,5.7918,0.029807
441,6.6399,0.021813
442,6.4540,0.034662
443,5.5816,0.039016
444,6.5674,0.037487
445,4.6512,0.034717
446,2.7652,0.020150
447,5.7706,0.008124
448,7.5369,0.015774
449,5.1424,0.041404
450,5.3374,0.054503
451,5.2119,0.063784
452,5.2124,0.062886
453,5.1571,0.049836
454,5.2330,0.034771
455,5.2751,0.009339
456,5.4480,0.000814
457,6.1172,0.000201
458,6.8843,0.000000
459,4.8988,0.000000
460,9.0434,0.000000
461,6.1213,0.000094
462,5.4572,0.000129
463,5.4655,0.000272
464,5.7912,0.013295
465,3.8628,0.042888
466,3.9879,0.063777
467,3.9529,0.074898
468,3.3714,0.089665
469,3.4029,0.115318
470,4.2105,0.117737
471,5.4571,0.112255
472,5.4547,0.100051
473,5.4413,0.055796
474,5.9146,0.020543
475,7.1838,0.014301
476,4.7001,0.042653
477,4.9210,0.070086
478,4.5763,0.075695
479,5.0631,0.075700
480,4.8505,0.064045
481,2.9177,0.033513
482,3.1778,0.054485
483,4.4317,0.062907
484,4.1747,0.064861
485,4.8117,0.064093
486,5.2919,0.037012
487,6.3156,0.019641
488,6.3639,0.021930
489,6.3010,0.029482
490,6.3503,0.029748
491,6.4005,0.036175
492,6.6115,0.032761
493,6.8181,0.029117
494,6.8992,0.035550
495,7.8923,0.030179
496,7.2800,0.028936
497,5.9132,0.025314
498,6.0274,0.013969
499,6.0983,0.012718
500,6.3238,0.016076
501,6.3075,0.018082
502,6.8264,0.017839
503,7.1798,0.019944
504,7.2735,0.018985
505,7.1066,0.022221
506,6.6905,0.028998
507,7.4264,0.033081
508,6.1394,0.031919
509,6.2882,0.029008
510,6.6839,0.022480
511,6.7762,0.020145
512,5.6395,0.046950
513,5.0864,0.057771
514,5.5213,0.059568
515,6.5584,0.059734
516,6.6592,0.046298
517,6.3643,0.032364
518,6.7111,0.031722
519,7.0311,0.034412
520,7.4864,0.030304
521,7.1574,0.056257
522,5.8000,0.076027
523,4.2549,0.075536
524,4.6258,0.075256
525,4.9936,0.059848
526,4.9323,0.060638
527,4.9201,0.068747
528,4.7347,0.069231
529,4.3974,0.067585
530,5.5163,0.041082
531,5.7709,0.032624
532,6.0626,0.064930
533,6.3492,0.076363
534,5.9988,0.076940
535,6.3177,0.071041
536,6.1097,0.042942
537,6.3108,0.068331
538,6.1250,0.092802
539,5.6057,0.096373
540,5.6705,0.096544
541,5.7842,0.070227
542,3.9753,0.040513
543,4.4823,0.044247
544,4.3908,0.043068
545,3.8460,0.042673
546,4.0140,0.035242
547,4.8036,0.028337
548,4.5448,0.058804
549,3.7699,0.076868
550,3.6140,0.076684
551,3.7385,0.073330
552,4.9365,0.055257
553,6.1418,0.032026
554,5.6128,0.033668
555,5.4371,0.032907
556,5.3989,0.026817
557,5.6812,0.016482
558,5.7007,0.003921
559,4.2630,0.000256
560,4.5143,0.000040
561,5.8743,0.000029
562,6.6758,0.000008
563,18.2347,0.000000
564,4.8988,0.000000
565,4.8988,0.000000
566,4.8988,0.000000
567,4.8988,0.000000
568,4.8988,0.000000
569,4.8988,0.000000
570,4.8988,0.000000
571,4.8988,0.000000
572,4.8988,0.000000
573,4.8988,0.000000
574,4.8988,0.000000
575,4.8988,0.000000
576,7.7650,0.000000
577,6.7791,0.000024
578,5.0419,0.001958
579,4.0927,0.021323
580,3.6364,0.027904
581,4.9562,0.034491
582,6.7292,0.039823
583,6.8253,0.034055
584,6.4509,0.029153
585,6.6802,0.022345
586,6.0169,0.027033
587,4.3531,0.040776
588,3.4369,0.045356
589,5.1304,0.047377
590,5.0063,0.041836
591,5.4382,0.032106
592,6.1127,0.030037
593,6.7908,0.027515
594,6.1414,0.024923
595,6.2385,0.020355
596,6.2414,0.012558
597,5.1153,0.021160
598,4.8346,0.035471
599,7.0259,0.038472
600,6.9581,0.038802
601,7.2094,0.038323
602,7.3208,0.028602
603,6.9384,0.029805
604,7.2435,0.043416
605,7.2244,0.045269
606,7.3361,0.046350
607,7.2234,0.043797
608,6.5059,0.031696
609,5.2156,0.032846
610,3.4523,0.047636
611,3.6911,0.051073
612,3.3538,0.050881
613,3.8688,0.045404
614,3.8946,0.026142
615,6.0618,0.019720
616,6.7341,0.021100
617,6.6689,0.019636
618,3.9369,0.034046
619,3.9012,0.077714
620,4.5913,0.080713
621,5.1036,0.080674
622,5.0346,0.075319
623,5.1349,0.026822
624,6.0252,0.026007
625,5.3537,0.032626
626,4.1182,0.033381
627,3.5099,0.032427
628,3.7692,0.021226
629,3.9772,0.007836
630,4.3800,0.000978
631,5.4308,0.000138
632,6.4828,0.000000
633,4.8988,0.000000
634,4.8988,0.000000
635,4.8988,0.000000
636,6.3828,0.000094
637,5.6294,0.000097
638,4.0701,0.009495
639,3.5375,0.019648
640,5.4522,0.021026
641,5.0507,0.061372
642,5.9186,0.081356
643,4.4446,0.083916
644,4.1820,0.083600
645,3.8638,0.100296
646,5.1757,0.141486
647,5.5817,0.156306
648,5.8466,0.162589
649,6.7523,0.142145
650,5.5837,0.085486
651,6.0250,0.046834
652,5.6892,0.017374
653,5.1530,0.058167
654,4.3566,0.088144
655,4.4833,0.090096
656,4.2494,0.090122
657,4.5076,0.077438
658,4.3901,0.107498
659,4.3682,0.118116
660,4.7755,0.119608
661,6.0905,0.115523
662,6.3522,0.059816
663,5.0685,0.036423
664,5.9253,0.033780
665,6.1888,0.035205
666,6.2646,0.033365
667,6.4066,0.024984
668,5.4335,0.021532
669,3.6014,0.033244
670,4.0122,0.044700
671,3.5800,0.053789
672,3.6109,0.059686
673,4.1181,0.053778
674,3.8302,0.044314
675,3.6891,0.032793
676,5.2081,0.019403
677,6.2984,0.019079
678,5.4481,0.029656
679,5.1253,0.037896
680,4.9730,0.117388
681,4.8682,0.155613
682,5.1545,0.161950
683,5.5064,0.160938
684,5.7558,0.116624
685,5.9529,0.059894
686,6.3526,0.049416
687,5.9940,0.068482
688,5.3814,0.070707
689,4.9712,0.066187
690,5.5756,0.058063
691,5.7758,0.030096
692,6.5044,0.045711
693,5.8942,0.075097
694,6.8833,0.075390
695,4.8159,0.075383
696,5.3786,0.063877
697,6.7979,0.023636
698,5.4983,0.053965
699,5.0644,0.071804
700,5.1203,0.072348
701,5.1614,0.072030
702,4.7362,0.049099
703,3.9359,0.016949
704,7.7132,0.022249
705,7.9947,0.029295
706,8.3804,0.037024
707,7.4371,0.035953
708,7.2196,0.031192
709,5.8484,0.024634
710,5.6312,0.009004
711,5.7990,0.000355
712,6.0517,0.000154
713,7.5835,0.000000
714,4.8988,0.000000
715,12.2044,0.000000
716,6.8149,0.000061
717,6.5243,0.000068
718,5.1039,0.003881
719,4.4856,0.126118
720,3.9544,0.171723
721,3.7061,0.187052
722,3.9402,0.189506
723,6.2301,0.142397
724,6.9586,0.082258
725,6.9316,0.041208
726,7.0866,0.031798
727,6.6920,0.046735
728,5.7083,0.057979
729,5.5622,0.057179
730,4.3604,0.055785
731,5.7071,0.043065
732,5.6071,0.130564
733,5.5071,0.170046
734,5.6856,0.186664
735,5.7230,0.186394
736,5.7094,0.135459
737,5.4819,0.079531
738,4.8358,0.029851
739,2.9122,0.037792
740,2.6542,0.038869
741,2.6610,0.040943
742,2.6761,0.039327
743,7.0039,0.038302
744,6.7766,0.045960
745,6.6184,0.043657
746,4.0114,0.038058
747,4.4338,0.030340
748,4.2452,0.012007
749,3.8703,0.001095
750,3.9988,0.000162
751,4.9082,0.000034
752,5.9994,0.000026
753,7.0492,0.000000
754,4.8988,0.000000
755,4.8988,0.000000
756,4.8988,0.000000
757,4.8988,0.000000
758,4.8988,0.000000
759,4.8988,0.000000
760,4.8988,0.000000
761,4.8988,0.000000
762,4.8988,0.000000
763,4.8988,0.000000
764,4.8988,0.000000
765,4.8988,0.000000
766,4.8988,0.000000
767,7.2618,0.000016
768,6.9116,0.000029
769,4.4206,0.002289
770,4.5067,0.017915
771,4.2580,0.061643
772,3.7323,0.083012
773,3.1474,0.083067
774,3.0184,0.106062
775,5.1745,0.137661
776,5.2693,0.131858
777,5.2722,0.132190
778,5.3940,0.113773
779,5.0504,0.043286
780,4.1897,0.027164
781,6.3489,0.035953
782,6.5486,0.036290
783,5.9435,0.035641
784,6.5799,0.030297
785,7.1550,0.017016
786,6.9945,0.021598
787,6.5610,0.031452
788,6.5514,0.036291
789,6.8499,0.037857
790,4.7099,0.035051
791,7.1563,0.025966
792,7.4473,0.022354
793,7.2365,0.034544
794,5.2153,0.120613
795,4.6051,0.138332
796,4.4628,0.139803
797,4.5902,0.136847
798,5.1930,0.074962
799,6.0049,0.037561
800,6.8219,0.033741
801,7.5357,0.048600
802,7.6474,0.047740
