frame,openness,energy
534,7.9665,0.118408
535,7.6902,0.116395
536,6.8189,0.109600
537,6.4222,0.101234
538,6.5509,0.100257
539,7.5303,0.101898
540,8.5393,0.108653
541,8.5600,0.116819
542,7.5586,0.111208
543,7.4588,0.107697
544,7.4316,0.104045
545,7.5500,0.097560
546,7.6186,0.096234
547,7.4439,0.095508
548,7.4286,0.085578
549,7.5780,0.077239
550,7.5501,0.066746
551,7.8554,0.050042
552,8.7716,0.045783
553,8.3912,0.042657
554,8.7406,0.038617
555,8.5740,0.039935
556,6.4237,0.089172
557,5.6920,0.112174
558,6.3374,0.130053
559,6.1283,0.145620
560,6.1075,0.137103
561,6.8410,0.134492
562,7.1915,0.132043
563,7.2470,0.127553
564,7.5509,0.121998
565,8.1774,0.124151
566,8.1007,0.127523
567,8.4130,0.126372
568,7.1925,0.121565
569,7.7162,0.102440
570,7.9217,0.092786
571,8.6468,0.091242
572,8.7564,0.093724
573,8.5890,0.105628
574,8.0240,0.102110
575,7.4204,0.098014
576,7.4665,0.100426
577,7.3666,0.099184
578,7.4430,0.100966
579,8.2559,0.098417
580,8.3218,0.084635
581,9.6198,0.069581
582,7.5841,0.064754
583,6.8119,0.094691
584,6.7558,0.119999
585,6.5805,0.136511
586,6.5117,0.145479
587,7.3677,0.140627
588,7.5609,0.137584
589,7.6316,0.135606
590,7.5200,0.127715
591,7.4009,0.118121
592,5.0510,0.106231
593,6.9043,0.111316
594,7.6513,0.120102
595,7.4616,0.124770
596,7.5605,0.132777
597,7.9670,0.130702
598,8.5445,0.123220
599,8.7411,0.107436
600,7.4595,0.090369
601,7.0708,0.094683
602,7.6817,0.101141
603,8.1676,0.118087
604,8.3012,0.130332
605,8.2307,0.124063
606,7.7867,0.119043
607,8.1660,0.102737
608,8.0640,0.083231
609,8.6223,0.061332
610,8.4463,0.078641
611,7.2181,0.098979
612,7.5553,0.115098
613,7.2183,0.126981
614,7.2987,0.119821
615,8.1830,0.114924
616,7.4699,0.112730
617,6.9428,0.113011
618,6.7153,0.112097
619,6.7223,0.108600
620,7.3986,0.105556
621,7.3415,0.103224
622,7.2532,0.101391
623,7.3958,0.102613
624,7.5628,0.102884
625,7.6952,0.099551
626,7.6112,0.099140
627,7.6993,0.099797
628,7.6516,0.103275
629,7.5795,0.102772
630,7.5188,0.101629
631,7.7070,0.104460
632,7.8153,0.102188
633,7.7749,0.101178
634,7.6916,0.096751
635,7.7369,0.088496
636,7.8103,0.084304
637,7.7892,0.089676
638,7.8656,0.086387
639,7.9959,0.079415
640,7.5809,0.068445
641,7.7909,0.053497
642,7.5428,0.057206
643,7.0463,0.064969
644,6.6425,0.084117
645,6.6683,0.173990
646,6.6702,0.181448
647,6.6706,0.182842
648,6.4948,0.177315
649,6.6461,0.147443
650,6.7916,0.159768
651,6.7946,0.170423
652,7.0606,0.178468
653,6.8977,0.143433
654,7.1152,0.124226
655,7.2951,0.115240
656,7.1520,0.103139
657,7.1558,0.093208
658,7.8262,0.234548
659,7.8681,0.244344
660,7.9911,0.246086
661,7.1656,0.244916
662,7.3760,0.152816
663,7.2904,0.182969
664,7.0987,0.201992
665,7.2367,0.218682
666,7.2746,0.209981
667,7.3477,0.228645
668,7.2454,0.230332
669,7.4952,0.234984
670,7.5191,0.237032
671,7.6595,0.205504
672,7.5240,0.231890
673,7.5710,0.237756
674,7.7853,0.252273
675,7.6301,0.268735
676,7.4964,0.292747
677,7.3586,0.292640
678,7.4109,0.273964
679,7.2233,0.244635
680,8.0324,0.215040
681,7.4522,0.255158
682,7.6031,0.275779
683,7.6420,0.284343
684,6.8793,0.269062
685,7.2789,0.232560
686,7.2617,0.220489
687,7.3844,0.224336
688,8.2323,0.223275
689,8.4840,0.230894
690,8.6381,0.222699
691,8.6239,0.213155
692,8.7320,0.198011
693,8.7561,0.172220
694,7.8217,0.168436
695,7.6503,0.162120
696,7.8004,0.161026
697,7.6591,0.154905
698,5.8078,0.199932
699,5.8661,0.208890
700,5.9425,0.220078
701,5.8512,0.230288
702,6.4092,0.200485
703,6.8139,0.197989
704,7.1765,0.192877
705,7.1394,0.184896
706,6.8925,0.174469
707,7.4260,0.237329
708,7.3835,0.245332
709,7.7992,0.238623
710,7.6330,0.232359
711,7.5358,0.152271
712,7.8943,0.126502
713,7.7470,0.125184
714,7.7436,0.123802
715,7.6821,0.119830
716,7.5411,0.215604
717,7.7217,0.245201
718,7.4600,0.264565
719,7.3147,0.274843
720,7.4446,0.217763
721,7.7077,0.195756
722,7.7326,0.182514
723,7.7768,0.186716
724,7.5726,0.178056
725,7.7268,0.174424
726,7.9604,0.173014
727,7.8977,0.175103
728,7.8197,0.177035
729,8.1923,0.207183
730,8.0105,0.274387
731,7.6071,0.264864
732,7.6407,0.256907
733,7.3640,0.224215
734,7.2616,0.180224
735,6.8280,0.181312
736,6.9309,0.178971
737,7.0321,0.176320
738,7.2453,0.105783
739,7.3200,0.083917
740,7.3986,0.076180
741,7.7710,0.078514
742,7.4693,0.074459
743,7.2631,0.217547
744,7.1228,0.235037
745,6.9211,0.243556
746,7.0242,0.249210
747,7.2259,0.157972
748,7.6537,0.139213
749,9.1448,0.123863
